device_id,timestamp,temperature_c,humidity,battery_v,status,firmware_v
SH-002,2026-09-25T10:11:00,21.36,49.4,3.64,offline,v2.4.0
SH-006,2026-09-25T07:04:00,19.95,38.4,3.48,online,v2.3.1
SH-008,2026-09-25T03:38:00,25.54,47.0,3.36,online,v2.4.0
SH-002,2026-09-25T12:37:00,18.81,47.9,3.45,offline,v2.4.0
SH-004,2026-09-25T20:57:00,22.83,45.7,3.59,online,v2.3.1
SH-009,2026-09-25T05:58:00,23.0,50.0,3.63,online,v2.3.1
SH-002,2026-09-25T04:17:00,16.67,44.0,3.81,offline,v2.3.1
SH-001,2026-09-25T20:50:00,22.96,57.8,3.41,idle,v2.3.1
SH-003,2026-09-25T00:43:00,25.4,65.5,3.47,offline,v2.4.0
SH-006,2026-09-25T14:06:00,21.34,41.9,3.72,online,v2.4.0
SH-001,2026-09-25T13:25:00,24.02,29.8,3.47,online,v2.3.1
SH-008,2026-09-25T11:12:00,21.8,48.2,3.65,idle,v2.4.0
SH-010,2026-09-25T10:17:00,22.48,48.8,3.7,offline,v2.3.1
SH-005,2026-09-25T00:39:00,24.56,46.4,3.56,online,v2.3.1
SH-010,2026-09-25T20:36:00,21.5,35.1,3.69,online,v2.3.1
SH-004,2026-09-25T01:37:00,23.7,48.1,3.84,maintenance,v2.3.1
SH-003,2026-09-25T03:51:00,17.34,52.0,3.7,online,v2.4.0
SH-008,2026-09-25T21:07:00,22.3,38.6,3.69,online,v2.3.1
SH-007,2026-09-25T08:38:00,16.68,59.9,3.8,idle,v2.4.0
SH-001,2026-09-25T11:00:00,20.75,38.5,3.79,online,v2.3.1
SH-001,2026-09-25T15:22:00,19.95,51.5,3.83,offline,v2.3.1
SH-001,2026-09-25T13:31:00,23.24,44.1,3.52,idle,v2.4.0
SH-004,2026-09-25T22:20:00,20.73,33.6,3.56,offline,v2.3.1
SH-006,2026-09-25T22:30:00,27.58,45.3,3.5,offline,v2.4.0
SH-007,2026-09-25T06:16:00,20.82,44.3,3.55,offline,v2.3.1
SH-001,2026-09-25T18:19:00,18.82,66.5,3.4,offline,v2.4.0
SH-003,2026-09-25T16:30:00,15.74,54.0,3.43,offline,v2.3.1
SH-009,2026-09-25T05:57:00,21.92,60.6,3.57,online,v2.4.0
SH-004,2026-09-25T03:34:00,20.99,57.4,3.35,offline,v2.4.0
SH-001,2026-09-25T19:33:00,24.31,45.7,3.5,online,v2.4.0
SH-002,2026-09-25T17:45:00,24.62,40.4,3.42,idle,v2.3.1
SH-009,2026-09-25T08:59:00,24.31,59.9,3.73,idle,v2.3.1
SH-002,2026-09-25T07:02:00,19.24,36.5,3.76,offline,v2.3.1
SH-008,2026-09-25T16:33:00,18.27,45.7,3.67,offline,v2.3.1
SH-001,2026-09-25T05:50:00,20.73,40.7,3.7,idle,v2.3.1
SH-007,2026-09-25T11:07:00,19.27,51.0,3.8,idle,v2.4.0
SH-004,2026-09-25T05:30:00,22.4,61.4,3.72,online,v2.3.1
SH-005,2026-09-25T14:51:00,85.0,43.7,3.67,online,v2.4.0
SH-005,2026-09-25T08:53:00,24.14,37.1,3.37,online,v2.3.1
SH-010,2026-09-25T15:58:00,20.42,53.8,3.34,online,v2.4.0
SH-005,2026-09-25T07:53:00,16.44,32.8,3.59,idle,v2.3.1
SH-010,2026-09-25T15:01:00,24.06,48.2,3.74,online,v2.3.1
SH-003,2026-09-25T14:42:00,29.72,40.5,3.62,idle,v2.4.0
SH-007,2026-09-25T10:48:00,23.91,49.5,3.63,offline,v2.4.0
SH-006,2026-09-25T13:04:00,17.33,49.0,3.42,offline,v2.3.1
SH-006,2026-09-25T04:16:00,17.54,37.4,3.5,offline,v2.4.0
SH-001,2026-09-25T17:59:00,26.81,60.5,3.81,online,v2.3.1
SH-002,2026-09-25T17:16:00,21.59,56.6,3.55,offline,v2.4.0
SH-005,2026-09-25T07:04:00,21.97,38.2,3.55,offline,v2.4.0
SH-004,2026-09-25T10:07:00,20.28,36.4,3.47,offline,v2.4.0
SH-007,2026-09-25T23:03:00,24.98,42.2,3.84,idle,v2.3.1
SH-001,2026-09-25T03:03:00,22.63,34.9,3.46,online,v2.3.1
SH-008,2026-09-25T13:02:00,18.38,36.8,3.71,offline,v2.3.1
SH-001,2026-09-25T12:45:00,20.49,53.8,3.38,offline,v2.3.1
SH-010,2026-09-25T16:18:00,21.13,45.6,3.31,idle,v2.4.0
SH-003,2026-09-25T10:41:00,20.57,51.4,3.62,idle,v2.3.1
SH-005,2026-09-25T16:31:00,24.23,62.6,3.53,online,v2.3.1
SH-004,2026-09-25T02:40:00,19.38,44.4,3.76,online,v2.4.0
SH-010,2026-09-25T03:39:00,20.71,41.1,3.7,offline,v2.4.0
SH-010,2026-09-25T12:47:00,26.93,45.1,3.78,offline,v2.3.1
SH-010,2026-09-25T03:28:00,27.22,53.6,3.59,offline,v2.4.0
SH-008,2026-09-25T00:32:00,27.7,47.2,3.58,idle,v2.4.0
SH-002,2026-09-25T11:05:00,23.26,30.5,3.58,offline,v2.4.0
SH-003,2026-09-25T16:48:00,24.52,40.0,3.94,idle,v2.3.1
SH-006,2026-09-25T12:31:00,19.61,33.6,3.53,offline,v2.4.0
SH-006,2026-09-25T21:01:00,19.9,36.8,3.79,idle,v2.3.1
SH-003,2026-09-25T06:31:00,17.53,33.0,3.33,offline,v2.3.1
SH-008,2026-09-25T10:46:00,23.49,49.4,3.28,online,v2.3.1
SH-008,2026-09-25T04:19:00,24.15,51.9,3.59,online,v2.3.1
SH-008,2026-09-25T06:07:00,23.79,44.0,3.47,idle,v2.4.0
SH-008,2026-09-25T12:05:00,21.02,36.8,3.27,idle,v2.4.0
SH-009,2026-09-25T14:28:00,20.87,46.2,3.88,idle,v2.3.1
SH-010,2026-09-25T15:49:00,24.86,45.4,3.78,online,v2.3.1
SH-005,2026-09-25T06:18:00,18.98,37.6,3.77,online,v2.4.0
SH-001,2026-09-25T05:29:00,22.62,38.5,3.63,idle,v2.4.0
SH-010,2026-09-25T09:50:00,25.7,44.3,3.73,offline,v2.3.1
SH-005,2026-09-25T05:14:00,23.61,43.0,3.48,idle,v2.4.0
SH-006,2026-09-25T05:27:00,23.24,40.3,3.65,offline,v2.3.1
SH-004,2026-09-25T22:55:00,23.55,45.1,3.65,online,v2.4.0
SH-008,2026-09-25T08:05:00,23.44,45.9,3.81,offline,v2.4.0
SH-007,2026-09-25T17:23:00,21.61,50.3,3.71,online,v2.3.1
SH-002,2026-09-25T07:38:00,16.98,54.4,3.49,idle,v2.4.0
SH-006,2026-09-25T00:49:00,16.41,42.3,3.48,offline,v2.3.1
SH-007,2026-09-25T01:11:00,22.82,48.5,3.85,idle,v2.4.0
SH-006,2026-09-25T23:33:00,21.3,50.8,3.48,offline,v2.4.0
SH-006,2026-09-25T08:45:00,27.46,31.4,3.46,offline,v2.4.0
SH-002,2026-09-25T00:12:00,22.44,45.2,3.64,online,v2.4.0
SH-004,2026-09-25T09:05:00,28.5,42.6,3.36,online,v2.4.0
SH-010,2026-09-25T06:21:00,19.52,47.3,3.38,online,v2.3.1
SH-008,2026-09-25T16:07:00,26.36,61.2,3.71,online,v2.4.0
SH-004,2026-09-25T22:00:00,23.55,43.0,3.69,offline,v2.4.0
SH-004,2026-09-25T21:27:00,26.13,51.3,3.67,idle,v2.4.0
SH-004,2026-09-25T01:55:00,19.52,53.1,3.95,idle,v2.4.0
SH-003,2026-09-25T00:05:00,19.72,49.6,3.72,idle,v2.4.0
SH-003,2026-09-25T20:30:00,20.47,49.7,3.77,offline,v2.3.1
SH-002,2026-09-25T04:19:00,26.6,36.1,3.43,idle,v2.4.0
SH-004,2026-09-25T03:28:00,23.6,44.2,3.56,online,v2.4.0
SH-003,2026-09-25T22:43:00,25.86,45.4,3.45,online,v2.3.1
SH-004,2026-09-25T04:18:00,18.82,43.9,3.64,offline,v2.3.1
SH-005,2026-09-25T20:36:00,27.07,39.5,3.67,idle,v2.4.0
SH-003,2026-09-25T18:49:00,25.85,50.4,3.53,idle,v2.4.0
SH-010,2026-09-25T04:48:00,20.23,44.9,3.6,idle,v2.4.0
SH-005,2026-09-25T21:29:00,19.86,34.3,3.7,online,v2.4.0
SH-007,2026-09-25T15:00:00,21.89,40.3,3.65,offline,v2.4.0
SH-009,2026-09-25T11:03:00,23.73,33.6,3.7,idle,v2.3.1
SH-003,2026-09-25T11:42:00,21.51,33.4,3.58,offline,v2.3.1
SH-009,2026-09-25T00:55:00,23.94,50.6,3.49,offline,v2.4.0
SH-010,2026-09-25T20:52:00,18.53,48.8,3.45,ERROR,v2.3.1
SH-007,2026-09-25T07:34:00,26.03,58.1,3.47,online,v2.3.1
SH-007,2026-09-25T06:41:00,25.61,35.2,3.69,offline,v2.3.1
SH-006,2026-09-25T00:22:00,24.71,49.3,3.67,online,v2.3.1
SH-004,2026-09-25T06:17:00,18.94,49.1,3.56,offline,v2.4.0
,2026-09-25T08:22:00,24.95,49.6,3.62,offline,v2.4.0
SH-005,2026-09-25T01:04:00,18.7,50.6,3.37,offline,v2.3.1
SH-006,2026-09-25T15:49:00,26.2,49.6,3.62,offline,v2.4.0
SH-002,2026-09-25T03:24:00,18.25,45.5,3.65,online,v2.3.1
SH-001,2026-09-25T06:21:00,21.41,39.1,3.45,idle,v2.4.0
SH-005,2026-09-25T11:30:00,24.54,53.2,3.67,online,v2.3.1
SH-002,2026-09-25T15:38:00,18.88,25.1,3.45,offline,v2.3.1
SH-009,2026-09-25T04:27:00,16.28,150.0,3.69,offline,v2.4.0
SH-005,2026-09-25T22:15:00,20.44,45.8,3.61,offline,v2.4.0
SH-010,2026-09-25T12:26:00,20.57,36.8,3.73,online,v2.4.0
SH-001,2026-09-25T11:11:00,20.62,47.1,3.73,idle,v2.3.1
SH-001,2026-09-25T17:56:00,22.37,37.5,3.82,online,v2.3.1
SH-002,2026-09-25T04:58:00,21.76,56.2,3.54,offline,v2.4.0
SH-004,2026-09-25T06:44:00,22.15,40.6,3.73,idle,v2.4.0
SH-007,2026-09-25T22:08:00,19.35,38.6,3.56,idle,v2.3.1
SH-004,2026-09-25T16:53:00,20.61,41.9,3.61,offline,v2.3.1
SH-010,2026-09-25T22:42:00,23.23,48.1,3.59,idle,v2.3.1
SH-010,2026-09-25T15:03:00,19.12,39.7,3.47,idle,v2.3.1
SH-001,2026-09-25T03:14:00,18.5,35.2,3.63,online,v2.4.0
SH-007,2026-09-25T18:07:00,21.79,41.8,3.78,idle,v2.3.1
SH-007,2026-09-25T21:35:00,28.66,35.7,3.56,idle,v2.4.0
SH-009,2026-09-25T02:59:00,28.48,42.8,3.77,idle,v2.4.0
SH-005,2026-09-25T07:00:00,14.83,43.0,3.21,offline,v2.4.0
SH-001,2026-09-25T18:45:00,20.57,39.2,3.85,online,v2.3.1
SH-001,2026-09-25T03:04:00,21.47,49.9,3.43,online,v2.4.0
SH-002,2026-09-25T23:19:00,21.52,53.0,3.67,idle,v2.3.1
SH-008,2026-09-25T02:50:00,21.74,30.2,3.82,offline,v2.3.1
SH-001,2026-09-25T00:36:00,20.08,59.5,3.38,online,v2.4.0
SH-008,2026-09-25T18:13:00,21.29,45.5,3.66,idle,v2.4.0
SH-002,2026-09-25T00:07:00,18.41,47.1,3.8,idle,v2.3.1
SH-010,2026-09-25T02:07:00,17.05,33.9,3.62,idle,v2.3.1
SH-002,2026-09-25T16:11:00,18.55,28.3,3.59,online,v2.4.0
SH-007,2026-09-25T18:18:00,21.88,59.5,3.61,offline,v2.4.0
SH-001,2026-09-25T21:15:00,23.83,46.9,3.64,online,v2.4.0
SH-008,2026-09-25T05:45:00,28.98,54.7,3.69,idle,v2.4.0
SH-001,2026-09-25T19:31:00,19.89,50.1,3.69,idle,v2.3.1
SH-004,2026-09-25T10:03:00,24.86,35.8,3.51,offline,v2.3.1
SH-009,2026-09-25T18:34:00,21.75,44.0,3.54,online,v2.4.0
SH-006,2026-09-25T03:25:00,20.81,45.5,3.74,idle,v2.4.0
SH-004,2026-09-25T17:28:00,23.98,45.0,3.82,offline,v2.4.0
SH-007,2026-09-25T15:39:00,21.51,44.0,3.59,online,v2.3.1
SH-007,2026-09-25T09:48:00,19.63,50.8,3.56,offline,v2.4.0
SH-002,2026-09-25T10:59:00,19.76,37.9,3.67,idle,v2.4.0
SH-005,2026-09-25T04:10:00,19.01,36.8,3.75,online,v2.3.1
SH-002,2026-09-25T09:27:00,18.71,41.1,3.63,offline,v2.4.0
SH-005,2026-09-25T14:39:00,23.3,47.2,3.62,online,v2.3.1
SH-003,2026-09-25T19:18:00,22.56,39.8,3.74,idle,v2.3.1
SH-003,2026-09-25T14:19:00,18.6,43.0,3.68,offline,v2.3.1
