device_id,timestamp,temp_c,humidity,battery_v,status
SH-009,2026-09-24T02:20:00,29.34,67.9,3.59,online
SH-010,2026-09-24T07:29:00,17.87,47.9,3.53,offline
SH-007,2026-09-24T18:25:00,26.42,49.7,3.43,offline
SH-002,2026-09-24T19:58:00,22.45,41.1,3.53,online
SH-006,2026-09-24T10:26:00,23.23,30.5,3.53,offline
SH-005,2026-09-24T19:18:00,22.36,40.2,3.5,offline
SH-009,2026-09-24T20:12:00,23.33,36.3,3.55,online
SH-004,2026-09-24T09:17:00,21.54,33.4,3.78,offline
SH-004,2026-09-24T21:33:00,26.36,58.8,3.63,idle
SH-001,2026-09-24T06:55:00,20.63,47.2,3.97,offline
SH-009,2026-09-24T05:44:00,25.4,48.0,3.63,idle
SH-008,2026-09-24T16:22:00,20.07,42.5,3.56,idle
SH-001,2026-09-24T15:16:00,21.82,43.6,3.6,online
SH-005,2026-09-24T03:21:00,18.78,52.7,3.64,online
SH-005,2026-09-24T19:59:00,23.37,44.7,3.67,idle
SH-005,2026-09-24T04:47:00,26.34,49.2,3.91,offline
SH-010,2026-09-24T19:19:00,21.77,43.4,3.47,offline
SH-002,2026-09-24T00:10:00,21.41,42.3,3.73,offline
SH-004,2026-09-24T19:07:00,18.66,33.7,3.63,idle
SH-002,2026-09-24T18:53:00,21.31,29.2,3.36,idle
SH-003,2026-09-24T18:43:00,17.22,42.9,3.72,idle
SH-010,2026-09-24T15:57:00,19.26,45.5,3.79,offline
SH-010,2026-09-24T11:19:00,22.68,34.7,3.47,online
SH-001,2026-09-24T16:55:00,25.96,44.7,3.6,online
SH-007,2026-09-24T06:39:00,30.43,45.4,3.34,offline
SH-003,2026-09-24T18:44:00,20.24,27.8,3.41,idle
SH-002,2026-09-24T13:20:00,26.31,37.7,3.76,idle
SH-003,2026-09-24T11:00:00,22.73,48.3,3.53,offline
SH-002,2026-09-24T12:08:00,21.55,48.1,3.43,offline
SH-005,2026-09-24T13:38:00,23.3,35.8,3.63,online
SH-010,2026-09-24T00:53:00,22.19,46.3,3.52,idle
SH-006,2026-09-24T03:21:00,22.33,53.2,3.53,idle
SH-008,2026-09-24T05:53:00,20.78,51.2,3.71,offline
SH-005,2026-09-24T02:44:00,17.81,44.2,3.43,offline
SH-001,2026-09-24T10:33:00,17.37,41.3,3.46,idle
SH-001,2026-09-24T16:02:00,23.96,40.0,3.62,offline
SH-003,2026-09-24T15:42:00,21.17,48.7,3.75,idle
SH-003,2026-09-24T11:18:00,20.21,46.6,3.79,offline
SH-009,2026-09-24T20:31:00,22.03,50.0,3.5,idle
SH-009,2026-09-24T13:33:00,24.38,46.1,3.74,idle
SH-009,2026-09-24T01:54:00,22.54,51.6,3.48,idle
SH-007,2026-09-24T18:21:00,20.03,45.8,3.87,offline
SH-006,2026-09-24T13:47:00,25.68,51.3,3.43,idle
SH-007,2026-09-24T15:13:00,26.74,52.0,3.8,online
SH-005,2026-09-24T13:34:00,23.48,38.6,3.5,online
SH-007,2026-09-24T13:17:00,24.92,30.5,3.9,idle
SH-008,2026-09-24T02:10:00,25.73,57.3,3.69,offline
SH-008,2026-09-24T13:25:00,25.39,47.1,3.45,idle
SH-007,2026-09-24T19:04:00,23.84,31.3,3.52,idle
SH-001,2026-09-24T07:17:00,23.8,39.3,3.72,offline
SH-008,2026-09-24T14:28:00,23.56,51.2,3.76,idle
SH-004,2026-09-24T00:44:00,18.71,42.8,3.59,offline
SH-008,2026-09-24T08:20:00,24.1,40.9,3.61,idle
SH-006,2026-09-24T10:28:00,17.93,56.2,3.71,offline
SH-009,2026-09-24T23:35:00,19.62,36.6,3.62,offline
SH-004,2026-09-24T05:09:00,25.91,38.6,3.41,idle
SH-010,2026-09-24T06:38:00,24.52,46.7,3.48,online
SH-009,2026-09-24T09:48:00,26.46,48.1,3.64,idle
SH-004,2026-09-24T23:49:00,21.18,49.0,3.78,online
SH-005,2026-09-24T20:28:00,18.54,52.3,3.84,idle
SH-006,2026-09-24T00:49:00,21.28,46.6,3.72,online
SH-008,2026-09-24T05:36:00,22.31,48.9,3.64,idle
SH-007,2026-09-24T19:43:00,22.24,42.9,3.71,idle
SH-009,2026-09-24T01:23:00,25.4,45.5,3.5,online
SH-004,2026-09-24T20:32:00,20.92,45.9,3.58,online
SH-006,2026-09-24T06:45:00,23.06,46.7,3.48,idle
SH-005,2026-09-24T22:01:00,19.03,51.2,3.41,online
SH-010,2026-09-24T07:02:00,23.35,49.4,3.65,offline
SH-004,2026-09-24T10:25:00,22.01,45.4,3.63,offline
SH-006,2026-09-24T15:53:00,19.75,38.5,3.7,offline
SH-002,2026-09-24T03:01:00,21.29,45.5,3.68,online
SH-009,2026-09-24T13:22:00,21.45,44.8,3.64,offline
SH-004,2026-09-24T12:07:00,21.19,46.5,3.68,idle
SH-004,2026-09-24T18:48:00,27.31,62.7,3.59,idle
SH-006,2026-09-24T23:54:00,21.7,40.8,3.66,online
SH-005,2026-09-24T15:56:00,21.27,48.4,3.49,idle
SH-009,2026-09-24T09:49:00,15.71,53.5,3.66,offline
SH-006,2026-09-24T09:45:00,19.32,45.8,3.7,online
SH-006,2026-09-24T10:01:00,21.21,63.7,3.5,online
SH-002,2026-09-24T19:32:00,19.94,42.0,3.61,idle
SH-001,2026-09-24T07:42:00,26.15,47.6,3.51,idle
SH-004,2026-09-24T04:00:00,21.51,38.6,3.52,idle
SH-010,2026-09-24T08:01:00,25.87,42.2,3.43,idle
SH-010,2026-09-24T00:32:00,22.19,47.0,3.79,online
SH-007,2026-09-24T02:32:00,22.11,51.8,3.76,online
SH-007,2026-09-24T02:09:00,21.73,47.6,3.68,online
SH-004,2026-09-24T18:31:00,22.01,55.1,3.9,online
SH-002,2026-09-24T17:20:00,27.16,44.2,3.57,offline
SH-001,2026-09-24T16:43:00,15.04,42.3,4.05,offline
SH-004,2026-09-24T11:05:00,16.0,66.6,3.57,idle
SH-004,2026-09-24T17:12:00,20.37,48.2,3.64,online
SH-002,2026-09-24T03:52:00,22.04,39.2,3.54,idle
SH-003,2026-09-24T21:36:00,24.07,39.4,3.66,offline
SH-001,2026-09-24T12:01:00,23.42,37.5,3.73,online
SH-007,2026-09-24T22:30:00,20.85,52.5,3.58,idle
SH-010,2026-09-24T03:39:00,25.06,42.1,3.87,idle
SH-007,2026-09-24T11:56:00,25.09,46.0,3.64,online
SH-005,2026-09-24T16:42:00,22.55,44.5,3.64,idle
SH-005,2026-09-24T11:53:00,24.89,50.9,3.46,idle
SH-004,2026-09-24T10:42:00,22.82,38.2,3.66,idle
SH-002,2026-09-24T03:59:00,20.32,36.4,3.58,offline
SH-006,2026-09-24T09:08:00,24.09,46.8,3.51,idle
SH-006,2026-09-24T05:43:00,22.33,49.8,3.48,online
SH-001,2026-09-24T07:14:00,22.0,47.7,4.0,online
SH-005,2026-09-24T16:24:00,26.42,38.5,3.56,idle
SH-003,2026-09-24T15:07:00,14.65,50.4,3.38,offline
SH-002,2026-09-24T14:34:00,17.75,39.0,3.5,online
SH-008,2026-09-24T08:41:00,18.44,40.8,3.59,online
SH-006,2026-09-24T23:01:00,20.91,37.4,3.68,offline
SH-007,2026-09-24T02:06:00,21.24,55.4,3.68,idle
SH-008,2026-09-24T08:13:00,17.48,50.1,3.7,online
SH-010,2026-09-24T02:49:00,19.04,49.8,3.5,online
SH-009,2026-09-24T08:08:00,19.42,55.0,3.65,idle
SH-007,2026-09-24T23:05:00,29.37,67.5,3.47,idle
SH-009,2026-09-24T08:47:00,27.41,31.3,3.51,idle
SH-005,2026-09-24T21:48:00,20.76,39.1,3.46,online
SH-010,2026-09-24T11:52:00,20.91,40.1,3.42,idle
SH-008,2026-09-24T16:47:00,18.55,38.2,3.76,offline
SH-007,2026-09-24T10:58:00,16.28,36.4,3.7,online
SH-010,2026-09-24T06:22:00,21.65,42.6,3.75,idle
SH-006,2026-09-24T18:20:00,19.01,35.3,3.61,online
SH-008,2026-09-24T23:15:00,21.75,47.7,3.72,idle
SH-003,2026-09-24T06:19:00,17.2,45.4,3.34,online
SH-010,2026-09-24T18:41:00,19.71,48.8,3.73,online
SH-007,2026-09-24T06:16:00,22.45,49.1,3.63,offline
SH-008,2026-09-24T17:12:00,23.1,49.8,3.69,online
SH-005,2026-09-24T18:56:00,23.25,42.0,3.66,offline
SH-009,2026-09-24T10:47:00,18.04,62.0,3.45,idle
SH-001,2026-09-24T17:41:00,24.56,46.9,3.38,idle
SH-002,2026-09-24T06:32:00,19.6,30.1,3.49,idle
SH-006,2026-09-24T01:54:00,23.9,37.0,3.68,idle
SH-008,2026-09-24T02:18:00,21.97,31.1,3.7,idle
SH-009,2026-09-24T10:43:00,17.87,45.1,3.39,offline
SH-005,2026-09-24T21:39:00,21.05,44.0,3.45,offline
SH-007,2026-09-24T03:03:00,23.1,41.3,3.49,online
SH-006,2026-09-24T10:56:00,23.84,61.1,3.55,offline
SH-010,2026-09-24T16:53:00,21.58,49.4,3.4,online
SH-007,2026-09-24T04:51:00,26.6,50.8,3.39,offline
SH-005,2026-09-24T17:19:00,25.02,37.6,3.48,online
SH-010,2026-09-24T07:20:00,21.23,37.0,3.61,online
SH-002,2026-09-24T19:24:00,24.25,45.3,3.42,offline
SH-010,2026-09-24T13:54:00,27.8,46.4,3.58,offline
SH-002,2026-09-24T13:07:00,27.88,30.1,3.76,online
SH-003,2026-09-24T04:14:00,18.32,43.6,3.4,idle
SH-009,2026-09-24T11:07:00,19.22,45.1,3.57,idle
SH-008,2026-09-24T20:33:00,26.45,43.3,3.75,idle
SH-010,2026-09-24T00:28:00,18.83,38.5,3.54,idle
SH-008,2026-09-24T18:12:00,18.03,40.7,3.51,offline
SH-007,2026-09-24T11:49:00,20.54,43.6,3.77,offline
SH-004,2026-09-24T17:16:00,23.26,45.7,3.55,idle
SH-001,2026-09-24T15:55:00,21.69,49.8,3.77,offline
SH-002,2026-09-24T10:22:00,20.05,53.6,3.66,offline
SH-003,2026-09-24T07:24:00,19.98,42.6,3.55,online
SH-001,2026-09-24T15:03:00,19.86,41.4,3.67,offline
SH-006,2026-09-24T03:21:00,19.36,48.5,3.65,offline
SH-008,2026-09-24T14:01:00,28.84,49.9,3.75,online
SH-010,2026-09-24T02:16:00,22.89,41.5,3.52,offline
SH-005,2026-09-24T15:35:00,24.66,51.3,3.61,offline
SH-009,2026-09-24T15:05:00,20.53,52.8,3.59,idle
SH-010,2026-09-24T02:01:00,21.44,55.3,3.71,idle
SH-009,2026-09-24T18:10:00,19.86,59.2,3.45,idle
SH-005,2026-09-24T09:58:00,14.04,38.1,3.75,offline
SH-004,2026-09-24T18:53:00,17.87,45.1,3.67,offline
SH-010,2026-09-24T00:59:00,16.57,45.1,3.4,offline
SH-003,2026-09-24T04:18:00,15.25,44.2,3.78,idle
SH-005,2026-09-24T11:51:00,18.41,39.8,3.94,online
SH-001,2026-09-24T04:31:00,25.97,33.1,3.75,offline
SH-008,2026-09-24T07:55:00,21.87,45.7,3.81,online
SH-007,2026-09-24T15:51:00,25.87,38.9,3.61,online
SH-001,2026-09-24T03:28:00,23.23,45.7,3.35,online
SH-003,2026-09-24T16:15:00,24.35,38.6,3.32,offline
SH-006,2026-09-24T02:28:00,19.3,36.2,3.64,idle
SH-006,2026-09-24T04:12:00,23.57,46.9,3.51,online
SH-009,2026-09-24T14:06:00,24.19,46.2,3.46,online
SH-003,2026-09-24T19:02:00,20.27,49.6,3.59,idle
SH-010,2026-09-24T04:05:00,23.68,62.5,3.69,offline
SH-005,2026-09-24T07:11:00,23.7,47.2,3.38,offline
SH-009,2026-09-24T22:12:00,20.35,48.9,3.53,idle
SH-003,2026-09-24T23:45:00,18.63,36.4,3.83,idle
SH-001,2026-09-24T13:56:00,18.45,34.7,3.44,offline
SH-001,2026-09-24T10:43:00,22.26,57.7,3.73,offline
SH-004,2026-09-24T08:19:00,22.98,37.6,3.53,online
SH-010,2026-09-24T14:41:00,19.62,36.6,3.68,offline
SH-001,2026-09-24T14:10:00,22.08,44.7,3.76,idle
SH-004,2026-09-24T07:04:00,23.71,44.3,3.71,offline
SH-002,2026-09-24T00:32:00,23.85,37.8,3.74,online
SH-010,2026-09-24T03:38:00,26.66,42.6,3.43,online
SH-007,2026-09-24T23:00:00,25.83,54.8,3.77,offline
SH-008,2026-09-24T10:02:00,19.0,38.6,3.47,offline
SH-008,2026-09-24T11:34:00,27.05,33.9,3.64,online
SH-007,2026-09-24T11:12:00,20.41,52.5,3.64,offline
SH-008,2026-09-24T18:47:00,25.13,48.9,3.67,online
SH-001,2026-09-24T01:33:00,22.2,40.0,3.65,offline
SH-009,2026-09-24T01:59:00,20.76,32.3,3.47,online
SH-008,2026-09-24T06:37:00,16.58,39.0,3.4,online
SH-008,2026-09-24T11:40:00,21.49,44.6,3.73,offline
SH-004,2026-09-24T16:06:00,17.32,54.3,3.63,offline
SH-009,2026-09-24T11:46:00,24.9,36.7,3.77,online
SH-004,2026-09-24T10:35:00,26.55,44.3,3.59,online
SH-001,2026-09-24T22:30:00,19.61,50.4,3.39,idle
SH-010,2026-09-24T03:51:00,22.91,25.9,3.74,online
SH-003,2026-09-24T13:43:00,19.82,53.3,3.54,offline
SH-002,2026-09-24T13:00:00,20.11,35.5,3.65,offline
SH-007,2026-09-24T11:21:00,24.32,47.7,3.5,offline
SH-003,2026-09-24T19:22:00,21.88,47.0,3.85,online
SH-009,2026-09-24T06:24:00,27.22,53.7,3.47,online
SH-005,2026-09-24T22:53:00,20.55,49.4,3.55,offline
SH-001,2026-09-24T07:57:00,25.0,26.0,3.62,online
SH-010,2026-09-24T13:04:00,22.29,38.7,3.44,idle
SH-006,2026-09-24T12:29:00,24.39,46.1,3.65,idle
SH-003,2026-09-24T20:23:00,20.66,43.4,3.84,offline
SH-007,2026-09-24T10:32:00,21.85,48.8,3.53,online
SH-006,2026-09-24T06:49:00,21.65,51.3,3.66,offline
SH-001,2026-09-24T00:31:00,19.49,49.9,3.19,offline
SH-008,2026-09-24T08:43:00,23.99,43.3,3.59,online
SH-005,2026-09-24T19:49:00,23.95,30.2,3.55,idle
SH-007,2026-09-24T00:14:00,23.78,41.4,3.48,online
SH-009,2026-09-24T21:30:00,26.61,48.3,3.76,idle
SH-007,2026-09-24T13:01:00,26.35,36.3,3.55,online
SH-007,2026-09-24T03:21:00,20.88,50.1,3.57,online
SH-003,2026-09-24T07:15:00,23.12,52.3,3.54,idle
SH-003,2026-09-24T13:17:00,20.13,46.0,3.31,idle
SH-005,2026-09-24T07:34:00,22.07,20.5,3.43,online
SH-009,2026-09-24T02:36:00,20.2,34.8,3.74,online
SH-006,2026-09-24T15:59:00,26.86,60.1,3.28,online
SH-004,2026-09-24T16:08:00,23.09,40.6,3.49,offline
SH-008,2026-09-24T02:51:00,21.35,29.1,3.54,idle
SH-009,2026-09-24T06:44:00,25.58,54.9,3.86,online
SH-010,2026-09-24T05:51:00,15.49,45.1,3.72,online
SH-003,2026-09-24T15:49:00,15.96,53.8,3.52,offline
SH-008,2026-09-24T17:31:00,24.39,47.2,3.8,online
SH-006,2026-09-24T17:26:00,22.18,48.7,3.49,offline
SH-005,2026-09-24T22:31:00,22.75,47.9,3.75,idle
SH-004,2026-09-24T18:26:00,18.02,50.6,3.4,online
SH-002,2026-09-24T07:41:00,21.93,63.2,3.76,online
SH-003,2026-09-24T02:35:00,28.01,52.8,3.54,online
SH-006,2026-09-24T14:45:00,24.47,32.4,3.45,offline
SH-009,2026-09-24T21:59:00,22.51,48.6,3.57,idle
SH-009,2026-09-24T23:24:00,20.68,54.1,3.64,idle
SH-002,2026-09-24T05:31:00,20.82,54.6,3.53,online
SH-007,2026-09-24T05:40:00,15.61,41.6,3.68,offline
SH-001,2026-09-24T00:53:00,22.77,54.3,3.51,online
SH-007,2026-09-24T03:23:00,24.54,52.4,3.69,idle
SH-004,2026-09-24T13:18:00,17.27,65.6,3.67,offline
SH-005,2026-09-24T13:07:00,20.02,39.0,3.59,offline
SH-008,2026-09-24T08:54:00,18.53,40.9,3.53,idle
SH-005,2026-09-24T07:26:00,19.1,42.6,3.62,offline
SH-009,2026-09-24T19:54:00,22.16,41.1,3.68,online
SH-006,2026-09-24T11:02:00,15.75,37.9,3.91,offline
SH-010,2026-09-24T19:23:00,23.84,22.9,3.74,idle
SH-007,2026-09-24T23:07:00,24.26,41.5,3.75,idle
SH-003,2026-09-24T07:36:00,21.25,48.0,4.06,online
SH-008,2026-09-24T04:51:00,14.56,41.1,3.68,offline
SH-005,2026-09-24T22:52:00,19.01,60.5,3.67,offline
SH-006,2026-09-24T15:14:00,25.7,45.1,3.71,offline
SH-002,2026-09-24T06:58:00,13.67,55.3,3.45,online
SH-002,2026-09-24T14:55:00,20.96,47.1,3.53,idle
SH-006,2026-09-24T12:21:00,18.46,51.6,3.52,offline
SH-002,2026-09-24T21:43:00,24.41,47.2,3.7,idle
SH-010,2026-09-24T06:08:00,19.97,56.0,3.57,offline
SH-009,2026-09-24T23:47:00,23.21,45.4,3.62,offline
SH-008,2026-09-24T22:27:00,23.7,49.0,3.76,online
SH-008,2026-09-24T04:20:00,27.51,47.9,3.73,idle
SH-006,2026-09-24T03:57:00,21.39,42.7,3.58,online
SH-001,2026-09-24T12:47:00,23.13,48.2,3.5,idle
SH-004,2026-09-24T01:04:00,17.54,62.9,3.77,idle
SH-005,2026-09-24T07:10:00,25.57,42.8,3.72,offline
SH-010,2026-09-24T10:26:00,19.72,48.4,3.36,offline
SH-003,2026-09-24T23:15:00,20.32,55.1,3.55,idle
SH-005,2026-09-24T23:49:00,21.93,54.1,3.62,idle
SH-004,2026-09-24T03:38:00,17.31,45.1,3.72,idle
SH-002,2026-09-24T21:24:00,22.69,25.9,3.74,idle
SH-002,2026-09-24T02:10:00,24.9,49.1,3.64,idle
SH-004,2026-09-24T17:57:00,22.88,27.2,3.69,offline
SH-001,2026-09-24T20:17:00,17.23,56.8,3.61,offline
SH-001,2026-09-24T21:22:00,21.63,46.4,3.5,offline
SH-004,2026-09-24T05:21:00,24.23,53.0,3.56,online
SH-003,2026-09-24T21:26:00,16.37,37.8,3.6,idle
SH-006,2026-09-24T02:47:00,18.78,32.6,3.59,idle
SH-001,2026-09-24T12:27:00,24.63,47.1,3.32,idle
SH-004,2026-09-24T11:16:00,22.81,44.7,3.54,idle
SH-005,2026-09-24T07:34:00,23.24,41.1,3.61,offline
SH-010,2026-09-24T00:31:00,27.58,45.7,3.56,idle
SH-007,2026-09-24T18:31:00,23.41,67.1,3.56,online
SH-009,2026-09-24T08:03:00,23.97,51.7,3.67,idle
SH-004,2026-09-24T15:52:00,30.13,53.4,3.44,offline
SH-005,2026-09-24T09:50:00,21.36,51.8,3.36,online
SH-005,2026-09-24T08:58:00,19.61,56.8,3.55,online
SH-009,2026-09-24T21:16:00,23.28,43.5,3.71,offline
SH-010,2026-09-24T02:16:00,23.32,28.6,3.85,online
SH-010,2026-09-24T17:40:00,20.42,43.5,3.72,idle
SH-008,2026-09-24T17:55:00,18.9,51.5,3.38,offline
SH-006,2026-09-24T09:07:00,28.93,37.2,3.57,online
SH-006,2026-09-24T06:17:00,22.98,43.6,3.64,idle
SH-010,2026-09-24T00:07:00,19.8,39.5,3.63,online
SH-003,2026-09-24T22:29:00,24.75,57.0,3.68,online
SH-004,2026-09-24T22:44:00,21.67,51.0,3.46,online
SH-009,2026-09-24T05:46:00,21.24,50.2,3.61,online
SH-004,2026-09-24T00:45:00,23.69,50.0,3.66,idle
SH-003,2026-09-24T02:56:00,18.12,44.7,3.72,idle
SH-006,2026-09-24T01:37:00,23.06,46.6,3.48,online
SH-004,2026-09-24T19:56:00,27.74,35.5,3.55,offline
SH-009,2026-09-24T21:24:00,23.4,27.5,3.19,offline
SH-010,2026-09-24T03:40:00,20.87,46.2,3.51,online
SH-004,2026-09-24T17:55:00,20.48,47.6,3.52,offline
SH-006,2026-09-24T04:18:00,20.77,54.7,3.45,online
SH-010,2026-09-24T08:48:00,21.24,57.6,3.62,idle
SH-008,2026-09-24T14:23:00,20.87,57.6,3.59,idle
SH-003,2026-09-24T17:16:00,24.75,37.0,3.26,idle
SH-006,2026-09-24T20:59:00,16.8,42.2,3.63,offline
SH-007,2026-09-24T01:04:00,24.59,48.8,3.46,offline
SH-007,2026-09-24T04:42:00,20.86,65.3,3.67,online
SH-001,2026-09-24T06:43:00,23.13,56.8,3.41,idle
SH-003,2026-09-24T07:26:00,18.62,54.0,3.6,offline
SH-009,2026-09-24T23:57:00,25.99,41.9,3.56,offline
SH-003,2026-09-24T18:39:00,25.74,37.9,3.65,offline
SH-003,2026-09-24T07:41:00,24.88,51.3,3.62,idle
SH-004,2026-09-24T23:19:00,17.46,36.2,3.56,online
SH-002,2026-09-24T11:59:00,24.49,43.1,3.37,idle
SH-002,2026-09-24T12:01:00,23.21,44.1,3.38,offline
SH-004,2026-09-24T10:24:00,17.18,57.7,3.51,offline
SH-009,2026-09-24T03:27:00,21.93,42.2,3.6,offline
SH-001,2026-09-24T22:25:00,23.09,25.5,3.51,offline
SH-003,2026-09-24T00:20:00,23.67,49.0,3.69,idle
SH-001,2026-09-24T04:10:00,22.53,39.4,3.56,online
SH-006,2026-09-24T05:30:00,22.87,45.3,3.46,idle
SH-003,2026-09-24T06:42:00,26.42,44.3,3.56,idle
SH-008,2026-09-24T03:09:00,25.68,42.8,3.63,offline
SH-006,2026-09-24T00:25:00,13.4,51.3,3.65,idle
SH-008,2026-09-24T16:15:00,21.05,32.7,3.88,offline
SH-007,2026-09-24T23:15:00,21.51,40.9,3.5,online
SH-005,2026-09-24T02:55:00,16.74,50.5,3.59,offline
SH-009,2026-09-24T07:07:00,22.28,40.1,3.66,idle
SH-005,2026-09-24T12:09:00,25.75,32.1,3.6,offline
SH-010,2026-09-24T22:15:00,18.74,50.3,3.52,idle
SH-010,2026-09-24T16:39:00,23.01,54.0,3.37,idle
SH-006,2026-09-24T18:23:00,19.25,44.6,3.52,online
SH-007,2026-09-24T13:56:00,19.98,29.3,3.44,offline
SH-003,2026-09-24T10:00:00,26.43,50.6,3.34,offline
SH-009,2026-09-24T04:47:00,20.37,31.7,3.48,offline
